name,state,vin,year,vehicle,model,engine,transmission,drivetrain,cab,bed,color,interior,base_msrp,total_msrp,availability_date,total_packages,packages,dealerId,url,regionId,lat,long
AutoNation Toyota Tempe,AZ,JTEAAAAH2RJ177812,2024,venza,XN,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl,Black SofTex® [softex],40405,43963.0,,7,"All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Quick Charging Cable Package[installed_msrp], Nightshade Edition, Activity Mount[installed_msrp], Special Color, Star Gaze™ Fixed Panoramic Roof",2042,https://www.autonationtoyotatempe.com,15,33.34441,-111.97019
Brent Berge's Riverview Toyota,AZ,JTEAAAAH4RJ171087,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Wind Chill Pearl [extra_cost_color],Black/Java SofTex® [softex],39280,41409.0,,3,"50 State Emissions, Special Color, All-Weather Floor Liner Package[installed_msrp]",2053,https://www.riverviewtoyota.com,15,33.436079,-111.870303
Brent Berge's Riverview Toyota,AZ,JTEAAAAH6RJ173844,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Black/Java SofTex® [softex],43215,47204.0,,6,"Emergency Assistance Kit[installed_msrp], Special Color, Star Gaze™ Fixed Panoramic Roof, 50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Activity Mount[installed_msrp]",2053,https://www.riverviewtoyota.com,15,33.436079,-111.870303
Avondale Toyota,AZ,JTEAAAAH7RJ176607,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl [extra_cost_color],Black SofTex® [softex],39280,42058.0,,5,"Special Color, Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], JBL® Premium Audio, 50 State Emissions",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
Avondale Toyota,AZ,JTEAAAAHXRJ175872,2024,venza,XN,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Wind Chill Pearl,Black SofTex® [softex],40405,42174.0,,5,"Black Roof Rail, Alloy Wheel Locks[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Nightshade Edition",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
Avondale Toyota,AZ,JTEAAAAH2RJ175056,2024,venza,XN,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl,Black SofTex® [softex],40405,42559.0,,7,"Special Color, Nightshade Edition, Alloy Wheel Locks[installed_msrp], 50 State Emissions, Activity Mount[installed_msrp], Black Roof Rail, All-Weather Floor Liner Package[installed_msrp]",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
Avondale Toyota,AZ,JTEAAAAH0RJ175346,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black Softex® [softex],43215,45304.0,,3,"Activity Mount[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]",2050,https://www.avondaletoyota.com,15,33.459983,-112.276095
Bell Road Toyota,AZ,JTEAAAAH2RJ176157,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Blueprint,Black SofTex® [softex],39280,41053.0,,3,"Quick Charging Cable Package[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]",2057,https://bellroadtoyota.com,15,33.64062,-112.103545
Right Toyota,AZ,JTEAAAAH1RJ177736,2024,venza,le,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Blueprint,Black Fabric,35070,36918.0,,4,"Emergency Assistance Kit[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Quick Charging Cable Package[installed_msrp]",2044,https://www.righttoyota.com,15,33.63494,-111.91403
Right Toyota,AZ,JTEAAAAH2RJ177129,2024,venza,le,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Black,Black Fabric,35070,36918.0,,4,"Emergency Assistance Kit[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Quick Charging Cable Package[installed_msrp], 50 State Emissions",2044,https://www.righttoyota.com,15,33.63494,-111.91403
Right Toyota,AZ,JTEAAAAHXRJ177380,2024,venza,le,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Black,Boulder Fabric,35070,37073.0,,5,"Quick Charging Cable Package[installed_msrp], Door Edge Guards[installed_msrp], Emergency Assistance Kit[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions",2044,https://www.righttoyota.com,15,33.63494,-111.91403
Right Toyota,AZ,JTEAAAAH4RJ177925,2024,venza,le,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl [extra_cost_color],Black Fabric,35070,37498.0,,6,"50 State Emissions, Special Color, All-Weather Floor Liner Package[installed_msrp], Emergency Assistance Kit[installed_msrp], Quick Charging Cable Package[installed_msrp], Door Edge Guards[installed_msrp]",2044,https://www.righttoyota.com,15,33.63494,-111.91403
Right Toyota,AZ,JTEAAAAH1RJ178885,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Black,Black SofTex® [softex],39280,41689.0,,4,"50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Activity Mount[installed_msrp], Roof Rack Cross Bars[installed_msrp]",2044,https://www.righttoyota.com,15,33.63494,-111.91403
Right Toyota,AZ,JTEAAAAH0RJ178666,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl [extra_cost_color],Black SofTex® [softex],39280,42114.0,,5,"All-Weather Floor Liner Package[installed_msrp], Special Color, 50 State Emissions, Roof Rack Cross Bars[installed_msrp], Activity Mount[installed_msrp]",2044,https://www.righttoyota.com,15,33.63494,-111.91403
Big Two Toyota of Chandler,AZ,JTEAAAAH4RJ178217,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black SofTex® [softex],39280,42018.0,,6,"Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Alloy Wheel Locks[installed_msrp], Roof Rack Cross Bars[installed_msrp], JBL® Premium Audio",2016,https://www.bigtwotoyota.com,15,33.28793,-111.790768
Earnhardt Toyota/Scion,AZ,JTEAAAAH2RJ179172,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black SofTex® [softex],39280,41304.0,,3,"50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Roof Rack Cross Bars[installed_msrp]",2051,https://www.earnhardttoyota.com,15,33.38821,-111.69959
Earnhardt Toyota/Scion,AZ,JTEAAAAH4RJ176421,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Black SofTex® [softex],39280,41478.0,,4,"Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Special Color, 50 State Emissions",2051,https://www.earnhardttoyota.com,15,33.38821,-111.69959
Earnhardt Toyota/Scion,AZ,JTEAAAAH7RJ179006,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Wind Chill Pearl [extra_cost_color],Black/Java SofTex® [softex],39280,42114.0,,5,"Activity Mount[installed_msrp], Roof Rack Cross Bars[installed_msrp], 50 State Emissions, Special Color, All-Weather Floor Liner Package[installed_msrp]",2051,https://www.earnhardttoyota.com,15,33.38821,-111.69959
Hatch Toyota,AZ,JTEAAAAH0RJ178232,2024,venza,le,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Black,Black Fabric,35070,36774.0,,2,"All-Weather Floor Liner Package[installed_msrp], 50 State Emissions",2038,https://www.hatchtoyota.com,15,34.258903,-110.013916
Precision Toyota of Tucson,AZ,JTEAAAAH5RJ177285,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black Softex® [softex],43215,44919.0,,2,"Carpet Mat Package[installed_msrp], 50 State Emissions",2010,https://www.pretoy.com,15,32.28701,-110.983221
Desert Toyota of Tucson,AZ,JTEAAAAH9RJ176446,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black/Java SofTex® [softex],43215,46798.0,,6,"Quick Charging Cable Package[installed_msrp], Activity Mount[installed_msrp], Carpet Mat Package[installed_msrp], First Aid Kit w/ PPE[installed_msrp], Star Gaze™ Fixed Panoramic Roof, 50 State Emissions",2021,https://www.deserttoyota.com,15,32.205909,-110.839698
Sierra Toyota,AZ,JTEAAAAH8RJ174722,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black/Java SofTex® [softex],43215,45143.0,,4,"All-Weather Floor Liner Package[installed_msrp], Quick Charging Cable Package[installed_msrp], Door Edge Guards[installed_msrp], 50 State Emissions",2056,https://www.sierratoyota-az.com,15,31.554366,-110.273512
Findlay Toyota Flagstaff,AZ,JTEAAAAH9RJ176947,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl [extra_cost_color],Boulder SofTex® [softex],39280,42058.0,,5,"JBL® Premium Audio, Special Color, Quick Charging Cable Package[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp]",2052,https://www.findlaytoyotaflagstaff.net,15,35.224093,-111.571421
Findlay Toyota Prescott,AZ,JTEAAAAH6RJ170443,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Boulder SofTex® [softex],39280,41409.0,,3,"Special Color, All-Weather Floor Liner Package[installed_msrp], 50 State Emissions",2055,https://www.findlaytoyotaprescott.com,15,34.605331,-112.455034
Findlay Toyota Prescott,AZ,JTEAAAAH0RJ177906,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Wind Chill Pearl [extra_cost_color],Black/Java SofTex® [softex],43215,47263.0,,7,"50 State Emissions, Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Special Color, Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], Star Gaze™ Fixed Panoramic Roof",2055,https://www.findlaytoyotaprescott.com,15,34.605331,-112.455034
Findlay Toyota,NV,JTEAAAAHXRJ172616,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Blueprint,Black SofTex® [softex],39280,41304.0,,3,"Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions",27020,https://www.findlaytoyota.com,15,36.0475,-115.0204
Findlay Toyota,NV,JTEAAAAH2RJ180189,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Titanium Glow,Black SofTex® [softex],39280,42193.0,,6,"Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Alloy Wheel Locks[installed_msrp], Activity Mount[installed_msrp], 50 State Emissions",27020,https://www.findlaytoyota.com,15,36.0475,-115.0204
Findlay Toyota,NV,JTEAAAAH0RJ179185,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Boulder SofTex® [softex],39280,42389.0,,7,"Venza Owner's Manual Portfolio[installed_msrp], Roof Rack Cross Bars[installed_msrp], 50 State Emissions, Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp], JBL® Premium Audio, Special Color",27020,https://www.findlaytoyota.com,15,36.0475,-115.0204
Findlay Toyota,NV,JTEAAAAH2RJ178975,2024,venza,XN,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black,Black SofTex® [softex],40405,42494.0,,6,"Carpet Mat Package[installed_msrp], 50 State Emissions, Special Color, Black Roof Rail, Activity Mount[installed_msrp], Nightshade Edition",27020,https://www.findlaytoyota.com,15,36.0475,-115.0204
Findlay Toyota,NV,JTEAAAAH7RJ178681,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Black/Java SofTex® [softex],39280,43353.0,,9,"All-Weather Floor Liner Package[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], 50 State Emissions, JBL® Premium Audio, Door Edge Guards[installed_msrp], Alloy Wheel Locks[installed_msrp], Roof Rack Cross Bars[installed_msrp], Activity Mount[installed_msrp], Special Color",27020,https://www.findlaytoyota.com,15,36.0475,-115.0204
Findlay Toyota,NV,JTEAAAAH6RJ175416,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Boulder SofTex® [softex],43215,45805.0,,6,"Carpet Mat Package[installed_msrp], Activity Mount[installed_msrp], 50 State Emissions, Alloy Wheel Locks[installed_msrp], Special Color, Venza Owner's Manual Portfolio[installed_msrp]",27020,https://www.findlaytoyota.com,15,36.0475,-115.0204
Findlay Toyota,NV,JTEAAAAH5RJ172944,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Black/Java SofTex® [softex],43215,46506.0,,7,"50 State Emissions, Special Color, Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], Preferred Accessory Package w/ Carpet Mats[installed_msrp], Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Quick Charging Cable Package[installed_msrp]",27020,https://www.findlaytoyota.com,15,36.0475,-115.0204
Findlay Toyota,NV,JTEAAAAH8RJ179953,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Black Softex® [softex],43215,47194.0,,6,"Special Color, All-Weather Floor Liner Package[installed_msrp], Alloy Wheel Locks[installed_msrp], Activity Mount[installed_msrp], Star Gaze™ Fixed Panoramic Roof, 50 State Emissions",27020,https://www.findlaytoyota.com,15,36.0475,-115.0204
Findlay Toyota,NV,JTEAAAAH6RJ180292,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black Softex® [softex],43215,47219.0,,7,"Star Gaze™ Fixed Panoramic Roof, Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], 50 State Emissions, Activity Mount[installed_msrp], Alloy Wheel Locks[installed_msrp], All-Weather Floor Liner Package[installed_msrp]",27020,https://www.findlaytoyota.com,15,36.0475,-115.0204
Anderson Toyota,AZ,JTEAAAAH6RJ173133,2024,venza,le,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black Fabric,35070,37238.0,,4,"Door Edge Guards[installed_msrp], 50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Carpet Mat Package[installed_msrp]",2048,https://www.andersontoyotaaz.com,15,34.573952,-114.367242
Anderson Toyota,AZ,JTEAAAAH9RJ168640,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Black/Java SofTex® [softex],39280,42130.0,,5,"50 State Emissions, Special Color, JBL® Premium Audio, Roof Rack Cross Bars[installed_msrp], Carpet Cargo Mat[parts_only_msrp]",2048,https://www.andersontoyotaaz.com,15,34.573952,-114.367242
Anderson Toyota,AZ,JTEAAAAHXRJ178965,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Wind Chill Pearl [extra_cost_color],Boulder SofTex® [softex],39280,42309.0,,5,"50 State Emissions, JBL® Premium Audio, Roof Rack Cross Bars[installed_msrp], Special Color, Carpet Mat Package[installed_msrp]",2048,https://www.andersontoyotaaz.com,15,34.573952,-114.367242
Anderson Toyota,AZ,JTEAAAAHXRJ163883,2024,venza,XN,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl,Black SofTex® [softex],40405,43919.0,,7,"Activity Mount[installed_msrp], 50 State Emissions, Special Color, All-Weather Floor Liner Package[installed_msrp], First Aid Kit w/ PPE[installed_msrp], Star Gaze™ Fixed Panoramic Roof, Nightshade Edition",2048,https://www.andersontoyotaaz.com,15,34.573952,-114.367242
Anderson Toyota,AZ,JTEAAAAH0RJ178991,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Wind Chill Pearl [extra_cost_color],Boulder SofTex® [softex],43215,45689.0,,5,"First Aid Kit w/ PPE[installed_msrp], Special Color, Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions",2048,https://www.andersontoyotaaz.com,15,34.573952,-114.367242
Anderson Toyota,AZ,JTEAAAAH3RJ173204,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl [extra_cost_color],Black Softex® [softex],43215,47363.0,,7,"Star Gaze™ Fixed Panoramic Roof, Door Edge Guards[installed_msrp], 50 State Emissions, Paint Protection Film (Hood, Fenders, Mirror Backs and Door Cups)[installed_msrp], First Aid Kit w/ PPE[installed_msrp], Special Color, All-Weather Floor Liner Package[installed_msrp]",2048,https://www.andersontoyotaaz.com,15,34.573952,-114.367242
David Wilson's Toyota and Scion of Las Vegas,NV,JTEAAAAHXRJ178285,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Black SofTex® [softex],39280,42280.0,,7,"50 State Emissions, Special Color, Venza Owner's Manual Portfolio[installed_msrp], Door Edge Guards[installed_msrp], Activity Mount[installed_msrp], Carpet Mat Package[installed_msrp], Roof Rack Cross Bars[installed_msrp]",27024,https://www.dwtoyotalasvegas.com,15,36.143896,-115.104659
David Wilson's Toyota and Scion of Las Vegas,NV,JTEAAAAH6RJ169762,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black Softex® [softex],43215,45239.0,,4,"50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], Carpet Mat Package[installed_msrp]",27024,https://www.dwtoyotalasvegas.com,15,36.143896,-115.104659
David Wilson's Toyota and Scion of Las Vegas,NV,JTEAAAAH6RJ171673,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black Softex® [softex],43215,45383.0,,4,"50 State Emissions, All-Weather Floor Liner Package[installed_msrp], Carpet Mat Package[installed_msrp], Door Edge Guards[installed_msrp]",27024,https://www.dwtoyotalasvegas.com,15,36.143896,-115.104659
Centennial Toyota,NV,JTEAAAAH3RJ176474,2024,venza,le,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Black,Boulder Fabric,35070,36843.0,,3,"Quick Charging Cable Package[installed_msrp], 50 State Emissions, Carpet Mat Package[installed_msrp]",27022,https://www.centennialtoyota.com,15,36.2764,-115.2734
Centennial Toyota,NV,JTEAAAAH1RJ175372,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl [extra_cost_color],Boulder SofTex® [softex],39280,42114.0,,5,"All-Weather Floor Liner Package[installed_msrp], Activity Mount[installed_msrp], Roof Rack Cross Bars[installed_msrp], 50 State Emissions, Special Color",27022,https://www.centennialtoyota.com,15,36.2764,-115.2734
Centennial Toyota,NV,JTEAAAAH9RJ170839,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Black Softex® [softex],43215,45664.0,,4,"50 State Emissions, Carpet Mat Package[installed_msrp], Roof Rack Cross Bars[installed_msrp], Special Color",27022,https://www.centennialtoyota.com,15,36.2764,-115.2734
Centennial Toyota,NV,JTEAAAAH2RJ177048,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl [extra_cost_color],Boulder SofTex® [softex],43215,46813.0,,5,"Special Color, Carpet Mat Package[installed_msrp], 50 State Emissions, Quick Charging Cable Package[installed_msrp], Star Gaze™ Fixed Panoramic Roof",27022,https://www.centennialtoyota.com,15,36.2764,-115.2734
Centennial Toyota,NV,JTEAAAAH5RJ178002,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl [extra_cost_color],Black Softex® [softex],43215,46824.0,,6,"Venza Owner's Manual Portfolio[installed_msrp], 50 State Emissions, Star Gaze™ Fixed Panoramic Roof, Special Color, Quick Charging Cable Package[installed_msrp], All-Weather Floor Liner Package[installed_msrp]",27022,https://www.centennialtoyota.com,15,36.2764,-115.2734
Centennial Toyota,NV,JTEAAAAH5RJ179344,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Ruby Flare Pearl [extra_cost_color],Black Softex® [softex],43215,47198.0,,6,"Carpet Mat Package[installed_msrp], 50 State Emissions, Quick Charging Cable Package[installed_msrp], Star Gaze™ Fixed Panoramic Roof, Special Color, Activity Mount[installed_msrp]",27022,https://www.centennialtoyota.com,15,36.2764,-115.2734
Toyota of Downtown LA,CA,JTEAAAAH9RJ176379,2024,venza,le,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Black,Black Fabric,35070,36785.0,,3,"Carpet Mat Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], 50 State Emissions",4739,https://www.toyotaofdowntownla.com,11,34.033649,-118.272743
Toyota of Downtown LA,CA,JTEAAAAH5RJ181014,2024,venza,le,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Black,Black Fabric,35070,36854.0,,4,"Carpet Mat Package[installed_msrp], Quick Charging Cable Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], 50 State Emissions",4739,https://www.toyotaofdowntownla.com,11,34.033649,-118.272743
Toyota of Downtown LA,CA,JTEAAAAH4RJ177004,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Celestial Black [extra_cost_color],Black SofTex® [softex],39280,41409.0,,3,"Carpet Mat Package[installed_msrp], Special Color, 50 State Emissions",4739,https://www.toyotaofdowntownla.com,11,34.033649,-118.272743
Toyota of Downtown LA,CA,JTEAAAAH4RJ170702,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Titanium Glow,Black Softex® [softex],43215,44751.0,,3,"Venza Owner's Manual Portfolio[installed_msrp], Carpet Cargo Mat[parts_only_msrp], 50 State Emissions",4739,https://www.toyotaofdowntownla.com,11,34.033649,-118.272743
Toyota of Downtown LA,CA,JTEAAAAH5RJ176749,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Titanium Glow,Black Softex® [softex],43215,44995.0,,4,"50 State Emissions, Carpet Mat Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], Alloy Wheel Locks[installed_msrp]",4739,https://www.toyotaofdowntownla.com,11,34.033649,-118.272743
Toyota of Downtown LA,CA,JTEAAAAH0RJ170857,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Blueprint,Black Softex® [softex],43215,44995.0,,4,"Carpet Mat Package[installed_msrp], Venza Owner's Manual Portfolio[installed_msrp], Alloy Wheel Locks[installed_msrp], 50 State Emissions",4739,https://www.toyotaofdowntownla.com,11,34.033649,-118.272743
Penske Toyota of Downey,CA,JTEAAAAHXRJ173491,2024,venza,XLE,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Wind Chill Pearl [extra_cost_color],Black SofTex® [softex],39280,41564.0,,4,"All-Weather Floor Liner Package[installed_msrp], Special Color, 50 State Emissions, Door Edge Guards[installed_msrp]",4080,https://www.pensketoyotadowney.com,11,33.933314,-118.119847
Penske Toyota of Downey,CA,JTEAAAAHXRJ172518,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Coastal Gray Metallic,Black Softex® [softex],43215,45074.0,,3,"All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Door Edge Guards[installed_msrp]",4080,https://www.pensketoyotadowney.com,11,33.933314,-118.119847
Penske Toyota of Downey,CA,JTEAAAAH9RJ175118,2024,venza,limited,2.5L 4-Cyl. Hybrid Engine,Electronically controlled Continuously Variable Transmission (ECVT),All-Wheel Drive,,,Wind Chill Pearl [extra_cost_color],Black Softex® [softex],43215,45819.0,,5,"Door Edge Guards[installed_msrp], Roof Rack Cross Bars[installed_msrp], All-Weather Floor Liner Package[installed_msrp], 50 State Emissions, Special Color",4080,https://www.pensketoyotadowney.com,11,33.933314,-118.119847
